rid	hid	duration	itime	otime	jtid	jtname
1000005064	22204	254	2018-03-12 11:17:10	2018-03-12 11:21:24	1	Nursing
1000005064	22204	339	2018-03-12 11:30:18	2018-03-12 11:35:57	1	Nursing
1000005065	22187	188	2018-03-12 14:12:20	2018-03-12 14:15:28	1	Nursing
1000005065	22214	73	2018-03-12 15:39:41	2018-03-12 15:40:54	1	Nursing
1000005065	22214	759	2018-03-12 15:41:34	2018-03-12 15:54:13	1	Nursing
1000005065	22295	197	2018-03-12 15:34:28	2018-03-12 15:37:45	1	Nursing
1000005065	22295	394	2018-03-12 15:39:36	2018-03-12 15:46:10	1	Nursing
1000005065	22295	518	2018-03-12 15:47:09	2018-03-12 15:55:47	1	Nursing
1000005065	28240	117	2018-03-12 18:40:04	2018-03-12 18:42:01	7	Nursing Assistant
1000005066	22204	144	2018-03-12 12:16:23	2018-03-12 12:18:47	1	Nursing
1000005066	22204	135	2018-03-12 15:16:02	2018-03-12 15:18:17	1	Nursing
1000005066	22204	89	2018-03-12 16:16:20	2018-03-12 16:17:49	1	Nursing
1000005066	22204	162	2018-03-12 18:53:30	2018-03-12 18:56:12	1	Nursing
1000005067	21924	312	2018-03-12 08:03:04	2018-03-12 08:08:16	11	Phlebotomist
1000005067	22187	84	2018-03-12 14:21:37	2018-03-12 14:23:01	1	Nursing
1000005067	22204	318	2018-03-12 11:36:52	2018-03-12 11:42:10	1	Nursing
1000005067	22204	347	2018-03-12 13:52:19	2018-03-12 13:58:06	1	Nursing
1000005067	22204	89	2018-03-12 15:21:25	2018-03-12 15:22:54	1	Nursing
1000005067	22204	100	2018-03-12 17:00:44	2018-03-12 17:02:24	1	Nursing
1000005067	22204	121	2018-03-12 17:47:07	2018-03-12 17:49:08	1	Nursing
1000005067	22214	101	2018-03-12 14:18:48	2018-03-12 14:20:29	1	Nursing
1000005067	23837	143	2018-03-12 17:33:59	2018-03-12 17:36:22	33	Facilities/Maintenance
1000005067	28240	265	2018-03-12 08:39:53	2018-03-12 08:44:18	7	Nursing Assistant
1000005067	28240	584	2018-03-12 16:32:03	2018-03-12 16:41:47	7	Nursing Assistant
