,facility,run,sim_day,pat_inf,hcws_inf
0,./fac19,9,2020-01-02,0,0
1,./fac19,9,2020-01-03,0,14
2,./fac19,9,2020-01-04,0,19
3,./fac19,9,2020-01-05,1,26
4,./fac19,9,2020-01-06,3,35
5,./fac19,9,2020-01-07,3,54
6,./fac19,9,2020-01-08,5,67
7,./fac19,9,2020-01-09,6,78
8,./fac19,9,2020-01-10,8,83
9,./fac19,9,2020-01-11,8,96
10,./fac19,9,2020-01-12,9,103
11,./fac19,9,2020-01-13,9,109
12,./fac19,9,2020-01-14,9,112
13,./fac19,9,2020-01-15,9,115
14,./fac19,9,2020-01-16,10,116
15,./fac19,9,2020-01-17,11,116
16,./fac19,9,2020-01-18,11,116
17,./fac19,9,2020-01-19,13,119
18,./fac19,9,2020-01-20,13,119
19,./fac19,9,2020-01-21,14,119
20,./fac19,9,2020-01-22,14,120
21,./fac19,9,2020-01-23,14,120
22,./fac19,9,2020-01-24,14,120
23,./fac19,9,2020-01-25,14,120
24,./fac19,9,2020-01-26,14,120
25,./fac19,9,2020-01-27,14,120
26,./fac19,9,2020-01-28,14,120
27,./fac19,9,2020-01-29,14,120
